0;19.6;0
0.2;19.6;3.72
0.4;17.64;7.06
0.6;15.68;10
0.8;13.72;12.54
1;11.76;14.7
1.2;9.8;16.46
1.4;7.84;17.84
1.6;5.88;18.82
1.8;3.92;19.4
2;1.96;19.6
2.2;0;19.4
2.22;-1.96;19.36
2.24;-2.16;19.32
